Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Age_clean,Embarked_clean,Fare_clean,Fare_clean_transform,Title,Cabin_indicator,Family
2,1,30.0,0,0,13.0,147,2,30.0,3,13.0,1.6702776523348104,11,0,0
2,1,47.0,0,0,15.0,147,2,47.0,3,15.0,1.7187719275874789,11,0,0
3,1,24.0,0,0,7.7958,147,2,24.0,3,7.7958,1.5078985992178087,11,0,0
3,1,27.0,0,0,8.6625,147,2,27.0,3,8.6625,1.5400281152322484,11,0,0
3,0,25.0,0,0,7.775,147,2,25.0,3,7.775,1.5070930932320792,8,0,0
2,1,21.0,1,0,11.5,147,2,21.0,3,11.5,1.629819719346329,11,0,1
2,0,19.0,1,0,26.0,147,2,19.0,3,26.0,1.9186451916253062,12,0,1
3,1,12.0,1,0,11.2417,147,0,12.0,1,11.2417,1.6224316067712792,7,0,1
2,1,23.0,0,0,15.0458,147,0,23.0,1,15.0458,1.7198202447472404,11,0,0
2,1,,0,0,0.0,147,2,29.69911764705882,3,0.0,0.0,11,0,0
3,1,20.0,0,0,7.8542,147,2,20.0,3,7.8542,1.5101510578167703,11,0,0
3,0,4.0,0,1,13.4167,147,0,4.0,1,13.4167,1.6808507094662855,8,0,1
3,1,40.0,0,0,7.225,147,0,40.0,1,7.225,1.4851405983548165,11,0,0
1,0,14.0,1,2,120.0,47,2,14.0,3,120.0,2.605171084697352,8,1,3
3,1,30.0,0,0,7.25,147,2,30.0,3,7.25,1.4861669577303998,11,0,0
3,1,17.0,1,0,7.0542,147,2,17.0,3,7.0542,1.4780514564280194,11,0,1
1,1,38.0,1,0,90.0,87,2,38.0,3,90.0,2.4595094858493636,11,1,1
3,1,,0,0,7.225,147,0,29.69911764705882,1,7.225,1.4851405983548165,11,0,0
2,0,57.0,0,0,10.5,136,2,57.0,3,10.5,1.6004343344404715,12,1,0
1,0,53.0,2,0,51.4792,48,2,53.0,3,51.4792,2.1995121120457117,12,1,2
2,0,18.0,0,2,13.0,147,2,18.0,3,13.0,1.6702776523348104,8,0,2
3,1,,0,0,15.1,147,2,29.69911764705882,3,15.1,1.7210575366331087,11,0,0
3,1,26.0,0,0,7.8958,147,2,26.0,3,7.8958,1.5117473912278288,11,0,0
1,0,51.0,1,0,77.9583,92,2,51.0,3,77.9583,2.389860064162019,12,1,1
2,0,40.0,1,1,39.0,147,2,40.0,3,39.0,2.080716549261844,12,0,2
1,0,35.0,1,0,53.1,55,2,35.0,3,53.1,2.2131910445428153,12,1,1
2,1,25.0,0,0,13.0,147,2,25.0,3,13.0,1.6702776523348104,11,0,0
1,0,36.0,0,0,135.6333,65,0,36.0,1,135.6333,2.669766416466719,8,1,0
3,1,28.0,0,0,9.5,147,2,28.0,3,9.5,1.5687174265360497,11,0,0
2,1,35.0,0,0,10.5,147,2,35.0,3,10.5,1.6004343344404715,11,0,0
3,0,,1,0,15.5,147,1,29.69911764705882,2,15.5,1.7300806134344884,12,0,1
3,1,20.0,0,0,9.225,147,2,20.0,3,9.225,1.5595283534018567,11,0,0
1,1,,0,0,27.7208,147,0,29.69911764705882,1,27.7208,1.9433953171183058,11,0,0
3,1,24.0,1,0,16.1,147,2,24.0,3,16.1,1.7432720823741534,11,0,1
3,1,33.0,1,1,20.525,147,2,33.0,3,20.525,1.8300233586613721,11,0,2
2,1,18.0,0,0,73.5,147,2,18.0,3,73.5,2.3618780376616875,11,0,0
2,0,34.0,0,0,13.0,147,2,34.0,3,13.0,1.6702776523348104,8,0,0
3,0,18.0,0,1,14.4542,147,0,18.0,1,14.4542,1.7060777218137082,8,0,1
3,1,47.0,0,0,9.0,147,2,47.0,3,9.0,1.5518455739153598,11,0,0
3,1,30.0,0,0,7.2292,147,0,30.0,1,7.2292,1.4853132250847014,11,0,0
2,0,19.0,0,0,26.0,147,2,19.0,3,26.0,1.9186451916253062,8,0,0
3,1,22.0,0,0,9.35,147,2,22.0,3,9.35,1.5637319948690074,11,0,0
3,0,25.0,1,0,7.925,147,2,25.0,3,7.925,1.512863880222077,8,0,1
3,0,,2,0,23.25,147,1,29.69911764705882,2,23.25,1.8762235871661006,8,0,2
1,0,24.0,0,0,69.3,24,0,24.0,1,69.3,2.334246127149303,10,1,0
3,1,36.0,1,0,15.55,147,2,36.0,3,15.55,1.7311953570230825,11,0,1
1,1,38.0,0,1,153.4625,85,2,38.0,3,153.4625,2.736531513440587,11,1,1
1,1,45.0,0,0,35.5,146,2,45.0,3,35.5,2.041952666077473,11,1,0
3,0,10.0,0,2,24.15,147,2,10.0,3,24.15,1.8905293628517985,8,0,2
3,1,19.0,0,0,10.1708,147,2,19.0,3,10.1708,1.59027057377503,11,0,0
3,1,41.0,2,0,14.1083,147,2,41.0,3,14.1083,1.6978328697498897,11,0,2
1,1,35.0,0,0,512.3292,15,0,35.0,1,249.00622000000033,3.014685687666116,11,1,0
3,1,17.0,0,0,8.6625,147,2,17.0,3,8.6625,1.5400281152322484,11,0,0
3,1,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,11,0,0
3,0,20.0,0,0,8.6625,147,2,20.0,3,8.6625,1.5400281152322484,8,0,0
3,0,,0,0,8.05,147,2,29.69911764705882,3,8.05,1.5176064932892266,12,0,0
3,1,4.0,3,2,27.9,147,2,4.0,3,27.9,1.9459014453829317,7,0,5
1,1,35.0,0,0,26.55,147,0,35.0,1,26.55,1.9266947105086853,11,0,0
3,0,,1,2,23.45,147,2,29.69911764705882,3,23.45,1.8794404489039271,8,0,3
3,1,22.0,0,0,7.5208,147,2,22.0,3,7.5208,1.4971068860512269,11,0,0
3,1,40.0,1,4,27.9,147,2,40.0,3,27.9,1.9459014453829317,11,0,5
2,0,8.0,0,2,26.25,147,2,8.0,3,26.25,1.9223207840792598,8,0,2
3,1,25.0,0,0,7.7417,147,1,25.0,2,7.7417,1.5057999125305375,11,0,0
3,0,18.0,0,1,9.35,147,2,18.0,3,9.35,1.5637319948690074,12,0,1
3,1,22.0,0,0,8.05,147,2,22.0,3,8.05,1.5176064932892266,11,0,0
3,1,25.0,0,0,7.05,147,2,25.0,3,7.05,1.477875411091228,11,0,0
3,1,32.0,0,0,7.8542,147,2,32.0,3,7.8542,1.5101510578167703,11,0,0
3,1,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730977,11,0,0
2,0,50.0,0,1,26.0,147,2,50.0,3,26.0,1.9186451916253062,12,0,1
1,1,47.0,0,0,25.5875,132,2,47.0,3,25.5875,1.9125181754898144,11,1,0
1,1,80.0,0,0,30.0,5,2,65.0,3,30.0,1.97435048583482,11,1,0
1,1,37.0,1,0,53.1,55,2,37.0,3,53.1,2.2131910445428153,11,1,1
3,1,2.0,3,1,21.075,147,2,2.0,3,21.075,1.83972756981829,7,0,4
3,0,,0,0,7.6292,147,1,29.69911764705882,2,7.6292,1.5013978859511075,8,0,0
1,0,33.0,0,0,86.5,40,2,33.0,3,86.5,2.4400752592578163,16,1,0
3,1,20.0,1,1,15.7417,147,0,20.0,1,15.7417,1.7354428893282614,11,0,2
1,0,16.0,0,1,39.4,99,2,16.0,3,39.4,2.0849672824575793,8,1,1
2,1,3.0,1,1,18.75,147,2,3.0,3,18.75,1.7972159093690117,7,0,2
3,1,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730977,11,0,0
3,1,25.0,1,0,17.8,147,2,25.0,3,17.8,1.7786233949266408,11,0,1
3,1,40.5,0,2,14.5,147,2,40.5,3,14.5,1.7071575395958583,11,0,2
2,1,25.0,0,0,13.0,147,2,25.0,3,13.0,1.6702776523348104,11,0,0
1,1,46.0,0,0,79.2,44,0,46.0,1,79.2,2.397425036114708,11,1,0
3,1,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730977,11,0,0
2,1,23.0,0,0,13.0,147,2,23.0,3,13.0,1.6702776523348104,11,0,0
2,0,21.0,0,0,10.5,147,2,21.0,3,10.5,1.6004343344404715,8,0,0
3,1,39.0,0,0,7.925,147,2,39.0,3,7.925,1.512863880222077,11,0,0
2,0,23.0,0,0,13.7917,90,0,23.0,1,13.7917,1.6901434253228618,12,1,0
3,1,,0,0,7.725,147,1,29.69911764705882,2,7.725,1.5051497043108115,11,0,0
2,1,39.0,0,0,13.0,147,2,39.0,3,13.0,1.6702776523348104,11,0,0
3,0,,0,2,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730977,8,0,2
1,0,16.0,0,0,86.5,42,2,16.0,3,86.5,2.4400752592578163,8,1,0
3,1,,0,0,7.2292,147,0,29.69911764705882,1,7.2292,1.4853132250847014,11,0,0
1,0,39.0,1,0,55.9,128,2,39.0,3,55.9,2.236054381834505,12,1,1
3,0,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730977,8,0,0
1,0,38.0,0,0,227.525,66,0,38.0,1,227.525,2.960777860413207,8,1,0
3,1,35.0,0,0,7.125,147,2,35.0,3,7.125,1.4810065311433624,11,0,0
3,1,17.0,0,0,8.6625,147,2,17.0,3,8.6625,1.5400281152322484,11,0,0
1,1,29.0,1,0,66.6,61,2,29.0,3,66.6,2.3157669197586563,11,1,1
3,1,11.0,5,2,46.9,147,2,11.0,3,46.9,2.1589101519708302,7,0,7
1,0,29.0,0,0,211.3375,32,2,29.0,3,211.3375,2.9173955295624148,8,1,0
3,1,,0,0,7.75,147,1,29.69911764705882,2,7.75,1.5061226525730977,11,0,0
3,1,,1,0,19.9667,147,2,29.69911764705882,3,19.9667,1.8199575509815569,11,0,1
3,0,30.5,0,0,7.75,147,1,30.5,2,7.75,1.5061226525730977,8,0,0
1,1,52.0,0,0,30.5,50,2,52.0,3,30.5,1.9808882133555452,6,1,0
3,1,21.0,0,0,16.1,147,2,21.0,3,16.1,1.7432720823741534,11,0,0
2,0,24.0,2,3,18.75,147,2,24.0,3,18.75,1.7972159093690117,12,0,5
1,0,24.0,0,0,69.3,24,0,24.0,1,69.3,2.334246127149303,9,1,0
1,1,,0,0,30.6958,147,0,29.69911764705882,1,30.6958,1.9834250380312257,11,0,0
2,1,30.0,0,0,10.5,147,2,30.0,3,10.5,1.6004343344404715,11,0,0
1,1,,0,0,42.4,147,2,29.69911764705882,3,42.4,2.115792977411307,11,0,0
3,1,16.0,0,0,9.5,147,2,16.0,3,9.5,1.5687174265360497,11,0,0
3,1,3.0,1,1,15.9,147,2,3.0,3,15.9,1.738919288749767,7,0,2
2,0,22.0,1,2,41.5792,147,0,22.0,1,41.5792,2.1075370871655457,12,0,3
3,1,35.0,0,0,8.05,147,2,35.0,3,8.05,1.5176064932892266,11,0,0
2,0,27.0,0,0,10.5,116,2,27.0,3,10.5,1.6004343344404715,8,1,0
2,1,48.0,0,0,13.0,147,2,48.0,3,13.0,1.6702776523348104,11,0,0
1,0,15.0,0,1,211.3375,32,2,15.0,3,211.3375,2.9173955295624148,8,1,1
3,1,,0,0,8.7125,147,0,29.69911764705882,1,8.7125,1.5418018350118334,11,0,0
1,0,17.0,1,0,57.0,19,2,17.0,3,57.0,2.2447861343640922,12,1,1
3,1,,0,0,24.15,147,1,29.69911764705882,2,24.15,1.8905293628517985,11,0,0
3,1,25.0,0,0,7.8958,147,2,25.0,3,7.8958,1.5117473912278288,11,0,0
3,0,30.0,0,0,8.6625,147,2,30.0,3,8.6625,1.5400281152322484,8,0,0
2,1,0.83,1,1,18.75,147,2,0.83,3,18.75,1.7972159093690117,7,0,2
3,0,45.0,0,0,7.75,147,2,45.0,3,7.75,1.5061226525730977,8,0,0
1,1,,0,0,26.0,3,2,29.69911764705882,3,26.0,1.9186451916253062,11,1,0
3,1,,0,0,7.25,147,2,29.69911764705882,3,7.25,1.4861669577303998,11,0,0
2,0,28.0,1,0,26.0,147,2,28.0,3,26.0,1.9186451916253062,12,0,1
3,1,28.0,0,0,7.8542,147,2,28.0,3,7.8542,1.5101510578167703,11,0,0
2,1,21.0,2,0,73.5,147,2,21.0,3,73.5,2.3618780376616875,11,0,2
1,1,33.0,0,0,5.0,34,2,33.0,3,5.0,1.379729661461215,11,1,0
3,1,39.0,1,5,31.275,147,2,39.0,3,31.275,1.9908542366373856,11,0,6
2,1,54.0,0,0,26.0,147,2,54.0,3,26.0,1.9186451916253062,11,0,0
3,1,29.0,0,0,7.8958,147,0,29.0,1,7.8958,1.5117473912278288,11,0,0
1,0,45.0,1,1,164.8667,147,2,45.0,3,164.8667,2.7760455575207867,12,0,2
3,1,44.0,0,1,16.1,147,2,44.0,3,16.1,1.7432720823741534,11,0,1
3,1,,0,0,9.5,147,2,29.69911764705882,3,9.5,1.5687174265360497,11,0,0
3,1,,0,0,7.8958,147,2,29.69911764705882,3,7.8958,1.5117473912278288,11,0,0
3,1,32.0,0,0,7.925,147,2,32.0,3,7.925,1.512863880222077,11,0,0
3,1,20.0,1,0,7.925,147,2,20.0,3,7.925,1.512863880222077,11,0,1
1,0,58.0,0,0,146.5208,43,0,58.0,1,146.5208,2.7113142476834304,8,1,0
2,1,19.0,0,0,13.0,147,2,19.0,3,13.0,1.6702776523348104,11,0,0
1,1,45.0,0,0,26.55,26,2,45.0,3,26.55,1.9266947105086853,6,1,0
3,1,1.0,4,1,39.6875,147,2,1.0,3,39.6875,2.088001222128034,7,0,5
3,0,21.0,0,0,7.65,147,2,21.0,3,7.65,1.5022156669730249,8,0,0
3,1,2.0,4,1,29.125,147,1,2.0,2,29.125,1.96269667532106,7,0,5
3,1,19.0,0,0,14.5,147,2,19.0,3,14.5,1.7071575395958583,11,0,0
3,1,31.0,0,0,7.775,147,2,31.0,3,7.775,1.5070930932320792,11,0,0
1,0,36.0,0,2,71.0,20,2,36.0,3,71.0,2.345587668505003,8,1,2
1,0,16.0,0,1,57.9792,17,0,16.0,1,57.9792,2.252446288892745,8,1,1
3,1,9.0,5,2,46.9,147,2,9.0,3,46.9,2.1589101519708302,7,0,7
1,0,25.0,1,2,151.55,62,2,25.0,3,151.55,2.729676545568824,12,1,3
2,0,31.0,1,1,26.25,147,2,31.0,3,26.25,1.9223207840792598,12,0,2
2,1,34.0,1,0,21.0,147,2,34.0,3,21.0,1.838416287252544,11,0,1
2,1,32.0,2,0,73.5,147,2,32.0,3,73.5,2.3618780376616875,11,0,2
3,1,26.0,1,2,20.575,147,2,26.0,3,20.575,1.8309140981238017,11,0,3
3,1,17.0,0,0,7.125,147,2,17.0,3,7.125,1.4810065311433624,11,0,0
1,1,28.0,0,0,47.1,147,2,28.0,3,47.1,2.1607483071694245,11,0,0
3,1,31.0,0,0,7.75,147,1,31.0,2,7.75,1.5061226525730977,11,0,0
3,1,,0,0,56.4958,147,2,29.69911764705882,3,56.4958,2.2408007055327177,11,0,0
3,1,44.0,0,0,7.925,147,2,44.0,3,7.925,1.512863880222077,11,0,0
3,1,4.0,1,1,11.1333,147,2,4.0,3,11.1333,1.6192905536180733,7,0,2
2,0,18.0,0,1,23.0,147,2,18.0,3,23.0,1.8721712305548575,8,0,1
3,0,23.0,0,0,7.55,147,2,23.0,3,7.55,1.4982676079809925,8,0,0
1,0,33.0,1,0,53.1,137,2,33.0,3,53.1,2.2131910445428153,12,1,1
2,0,30.0,0,0,12.35,147,1,30.0,2,12.35,1.653230433971737,8,0,0
1,0,48.0,1,0,39.6,2,0,48.0,1,39.6,2.0870797156498897,5,1,1
2,0,38.0,0,0,13.0,147,2,38.0,3,13.0,1.6702776523348104,8,0,0
3,1,26.0,2,0,8.6625,147,2,26.0,3,8.6625,1.5400281152322484,11,0,2
3,1,24.0,0,0,7.4958,147,2,24.0,3,7.4958,1.4961102490661968,11,0,0
3,1,26.0,0,0,56.4958,147,2,26.0,3,56.4958,2.2408007055327177,11,0,0
2,1,2.0,1,1,26.0,141,2,2.0,3,26.0,1.9186451916253062,7,1,2
2,1,27.0,0,0,13.0,147,2,27.0,3,13.0,1.6702776523348104,11,0,0
3,1,2.0,4,1,39.6875,147,2,2.0,3,39.6875,2.088001222128034,7,0,5
3,1,27.0,0,0,7.7958,147,2,27.0,3,7.7958,1.5078985992178087,11,0,0
3,0,22.0,0,0,7.75,147,1,22.0,2,7.75,1.5061226525730977,8,0,0
3,1,,0,0,7.8958,147,2,29.69911764705882,3,7.8958,1.5117473912278288,11,0,0
3,0,17.0,0,0,14.4583,147,0,17.0,1,14.4583,1.7061744981851188,8,0,0
3,1,28.0,0,0,22.525,147,2,28.0,3,22.525,1.864373665876108,11,0,0
3,0,,8,2,69.55,147,2,29.69911764705882,3,69.55,2.335927862415534,8,0,10
3,0,,8,2,69.55,147,2,29.69911764705882,3,69.55,2.335927862415534,8,0,10
3,1,,3,1,25.4667,147,2,29.69911764705882,3,25.4667,1.9107089348696942,7,0,4
1,1,,0,0,25.925,147,2,29.69911764705882,3,25.925,1.917537001518171,11,0,0
3,0,,1,0,16.1,147,2,29.69911764705882,3,16.1,1.7432720823741534,12,0,1
3,0,22.0,0,0,7.25,147,2,22.0,3,7.25,1.4861669577303998,8,0,0
1,1,36.0,0,1,512.3292,34,0,36.0,1,249.00622000000033,3.014685687666116,11,1,1
3,1,18.0,0,0,7.75,147,2,18.0,3,7.75,1.5061226525730977,11,0,0
2,1,18.0,0,0,11.5,147,2,18.0,3,11.5,1.629819719346329,11,0,0
2,1,25.0,1,2,41.5792,147,0,25.0,1,41.5792,2.1075370871655457,11,0,3
3,1,36.0,0,0,7.8958,147,2,36.0,3,7.8958,1.5117473912278288,11,0,0
1,0,19.0,0,2,26.2833,107,2,19.0,3,26.2833,1.9228082570289222,8,1,2
2,0,13.0,0,1,19.5,147,2,13.0,3,19.5,1.8113689640194657,8,0,1
3,1,16.0,1,1,20.25,147,2,16.0,3,20.25,1.8250930256796174,11,0,2
3,0,41.0,0,2,20.2125,147,2,41.0,3,20.2125,1.8244165640312753,12,0,2
3,1,,1,2,23.45,147,2,29.69911764705882,3,23.45,1.8794404489039271,11,0,3
1,0,26.0,0,0,78.85,147,2,26.0,3,78.85,2.3953023442886727,8,0,0
3,1,18.0,0,0,8.3,147,2,18.0,3,8.3,1.5269176613775752,11,0,0
3,1,6.0,0,1,12.475,118,2,6.0,3,12.475,1.6565635869166153,7,1,1
2,1,59.0,0,0,13.5,147,2,59.0,3,13.5,1.6829327181692992,11,0,0
1,1,48.0,1,0,76.7292,101,0,48.0,1,76.7292,2.3822763210228204,11,1,1
2,1,66.0,0,0,10.5,147,2,65.0,3,10.5,1.6004343344404715,11,0,0
1,0,23.0,3,2,263.0,63,2,23.0,3,249.00622000000033,3.014685687666116,8,1,5
3,0,19.0,0,0,7.8792,147,1,19.0,2,7.8792,1.5111112014285388,8,0,0
1,0,24.0,3,2,263.0,63,2,24.0,3,249.00622000000033,3.014685687666116,8,1,5
1,0,38.0,0,0,80.0,21,3,38.0,0,80.0,2.4022488679628626,8,1,0
3,1,,8,2,69.55,147,2,29.69911764705882,3,69.55,2.335927862415534,11,0,10
2,0,24.0,0,0,13.0,147,2,24.0,3,13.0,1.6702776523348104,8,0,0
3,1,32.0,0,0,8.05,115,2,32.0,3,8.05,1.5176064932892266,11,1,0
3,1,,0,0,7.775,147,2,29.69911764705882,3,7.775,1.5070930932320792,11,0,0
3,0,24.0,0,2,16.7,145,2,24.0,3,16.7,1.756075946309636,12,1,2
1,0,2.0,1,2,151.55,62,2,2.0,3,151.55,2.729676545568824,8,1,3
3,1,26.0,1,0,14.4542,147,0,26.0,1,14.4542,1.7060777218137082,11,0,1
1,0,23.0,1,0,113.275,103,0,23.0,1,113.275,2.575293989068137,8,1,1
2,1,,0,0,13.8625,147,0,29.69911764705882,1,13.8625,1.6918751508287486,11,0,0
3,1,32.0,0,0,7.925,147,2,32.0,3,7.925,1.512863880222077,11,0,0
3,0,9.0,4,2,31.275,147,2,9.0,3,31.275,1.9908542366373856,8,0,6
3,1,34.0,0,0,8.05,147,2,34.0,3,8.05,1.5176064932892266,11,0,0
1,1,36.0,1,0,78.85,67,2,36.0,3,78.85,2.3953023442886727,11,1,1
2,0,30.0,0,0,13.0,147,2,30.0,3,13.0,1.6702776523348104,8,0,0
3,1,36.0,0,0,7.4958,147,2,36.0,3,7.4958,1.4961102490661968,11,0,0
2,1,42.0,1,0,27.0,147,2,42.0,3,27.0,1.933182044931763,11,0,1
1,0,22.0,0,2,49.5,27,0,22.0,1,49.5,2.1823331000944726,8,1,2
